32 64 64 128 1 -3.229074 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
40 64 64 128 1 -3.140913 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
48 64 64 128 1 -3.083174 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
56 64 64 128 1 -3.043990 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
64 64 64 128 1 -3.088669 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
72 64 64 128 1 -3.205493 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
80 64 64 128 1 -3.258857 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
88 64 64 128 1 -3.148304 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
96 64 64 128 1 -3.204704 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
104 64 64 128 1 -3.420855 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
112 64 64 128 1 -3.471398 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
120 64 64 128 1 -3.437993 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
128 64 64 128 1 -3.335191 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
136 64 64 128 1 -3.349117 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
144 64 64 128 1 -3.476723 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
152 64 64 128 1 -3.605203 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
160 64 64 128 1 -3.641202 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
168 64 64 128 1 -3.526579 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
176 64 64 128 1 -3.420703 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
184 64 64 128 1 -3.490706 -2 -1 -1 -1 0 -1 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
